{'股票代码': 'SZ000001', '股票价格': '17.76'}
{'股票代码': 'SZ002034', '股票价格': '16.24'}
{'股票代码': 'SZ002035', '股票价格': '6.19'}
{'股票代码': 'SZ002036', '股票价格': '16.71'}
{'股票代码': 'SZ002037', '股票价格': '6.17'}
{'股票代码': 'SZ002038', '股票价格': '9.30'}
{'股票代码': 'SZ002039', '股票价格': '13.29'}
{'股票代码': 'SZ002040', '股票价格': '5.80'}
{'股票代码': 'SZ002041', '股票价格': '17.42'}
{'股票代码': 'SZ002042', '股票价格': '5.21'}
{'股票代码': 'SZ002043', '股票价格': '10.07'}
{'股票代码': 'SZ002044', '股票价格': '7.48'}
{'股票代码': 'SZ002045', '股票价格': '12.51'}
{'股票代码': 'SZ002046', '股票价格': '9.53'}
{'股票代码': 'SZ002047', '股票价格': '3.09'}
{'股票代码': 'SZ002048', '股票价格': '19.59'}
{'股票代码': 'SZ002049', '股票价格': '177.52'}
{'股票代码': 'SZ002050', '股票价格': '20.93'}
{'股票代码': 'SZ002051', '股票价格': '6.36'}
{'股票代码': 'SZ002052', '股票价格': '2.12'}
{'股票代码': 'SZ002053', '股票价格': '8.42'}
{'股票代码': 'SZ002054', '股票价格': '9.92'}
{'股票代码': 'SZ002055', '股票价格': '10.50'}
{'股票代码': 'SZ002056', '股票价格': '14.00'}
{'股票代码': 'SZ002057', '股票价格': '7.30'}
{'股票代码': 'SZ002058', '股票价格': '7.70'}
{'股票代码': 'SZ002059', '股票价格': '4.97'}
{'股票代码': 'SZ002060', '股票价格': '3.45'}
{'股票代码': 'SZ002061', '股票价格': '4.96'}
{'股票代码': 'SZ002062', '股票价格': '4.03'}
{'股票代码': 'SZ002063', '股票价格': '6.79'}
{'股票代码': 'SZ002064', '股票价格': '12.56'}
{'股票代码': 'SZ002065', '股票价格': '7.22'}
{'股票代码': 'SZ002066', '股票价格': '9.42'}
{'股票代码': 'SZ002067', '股票价格': '3.51'}
{'股票代码': 'SZ002068', '股票价格': '7.28'}
{'股票代码': 'SZ002069', '股票价格': '3.14'}
{'股票代码': 'SZ002072', '股票价格': '4.58'}
{'股票代码': 'SZ002073', '股票价格': '4.85'}
{'股票代码': 'SZ002074', '股票价格': '51.51'}
{'股票代码': 'SZ002075', '股票价格': '7.14'}
{'股票代码': 'SZ002076', '股票价格': '2.16'}
{'股票代码': 'SZ002077', '股票价格': '7.67'}
{'股票代码': 'SZ002078', '股票价格': '11.03'}
{'股票代码': 'SZ002079', '股票价格': '13.30'}
{'股票代码': 'SZ002080', '股票价格': '25.75'}
{'股票代码': 'SZ002081', '股票价格': '6.85'}
{'股票代码': 'SZ002082', '股票价格': '11.07'}
{'股票代码': 'SZ002083', '股票价格': '4.00'}
{'股票代码': 'SZ002084', '股票价格': '5.57'}
{'股票代码': 'SZ002085', '股票价格': '5.56'}
{'股票代码': 'SZ002086', '股票价格': '1.83'}
{'股票代码': 'SZ002087', '股票价格': '3.34'}
{'股票代码': 'SZ002088', '股票价格': '21.24'}
{'股票代码': 'SZ002089', '股票价格': '2.95'}
{'股票代码': 'SZ002090', '股票价格': '8.64'}
{'股票代码': 'SZ002091', '股票价格': '12.73'}
{'股票代码': 'SZ002092', '股票价格': '11.88'}
{'股票代码': 'SZ002093', '股票价格': '5.89'}
{'股票代码': 'SZ002094', '股票价格': '4.77'}
{'股票代码': 'SZ002095', '股票价格': '12.95'}
{'股票代码': 'SZ002096', '股票价格': '7.59'}
{'股票代码': 'SZ002097', '股票价格': '8.50'}
{'股票代码': 'SZ002098', '股票价格': '6.39'}
{'股票代码': 'SZ002099', '股票价格': '7.64'}
{'股票代码': 'SZ002100', '股票价格': '7.20'}
{'股票代码': 'SZ002101', '股票价格': '7.69'}
{'股票代码': 'SZ002102', '股票价格': '3.06'}
{'股票代码': 'SZ002103', '股票价格': '4.12'}
{'股票代码': 'SZ002104', '股票价格': '5.62'}
{'股票代码': 'SZ002105', '股票价格': '7.78'}
{'股票代码': 'SZ002106', '股票价格': '10.00'}
{'股票代码': 'SZ002107', '股票价格': '7.12'}
{'股票代码': 'SZ002108', '股票价格': '7.35'}
{'股票代码': 'SZ002109', '股票价格': '5.79'}
{'股票代码': 'SZ002110', '股票价格': '8.33'}
{'股票代码': 'SZ002111', '股票价格': '13.60'}
{'股票代码': 'SZ002112', '股票价格': '7.16'}
{'股票代码': 'SZ002113', '股票价格': '1.45'}
{'股票代码': 'SZ002114', '股票价格': '7.68'}
{'股票代码': 'SZ002115', '股票价格': '5.09'}
{'股票代码': 'SZ002116', '股票价格': '5.93'}
{'股票代码': 'SZ002117', '股票价格': '7.29'}
{'股票代码': 'SZ002118', '股票价格': '2.62'}
{'股票代码': 'SZ002119', '股票价格': '21.21'}
{'股票代码': 'SZ002120', '股票价格': '13.80'}
{'股票代码': 'SZ002121', '股票价格': '5.21'}
{'股票代码': 'SZ002122', '股票价格': '2.60'}
{'股票代码': 'SZ002123', '股票价格': '21.51'}
{'股票代码': 'SZ002124', '股票价格': '5.59'}
{'股票代码': 'SZ002125', '股票价格': '9.70'}
{'股票代码': 'SZ002126', '股票价格': '12.37'}
{'股票代码': 'SZ002127', '股票价格': '9.70'}
{'股票代码': 'SZ002128', '股票价格': '10.27'}
{'股票代码': 'SZ002129', '股票价格': '44.27'}
{'股票代码': 'SZ002130', '股票价格': '6.76'}
{'股票代码': 'SZ002131', '股票价格': '2.37'}
{'股票代码': 'SZ002132', '股票价格': '3.86'}
{'股票代码': 'SZ002133', '股票价格': '2.85'}
{'股票代码': 'SZ002134', '股票价格': '8.17'}
{'股票代码': 'SZ002135', '股票价格': '8.35'}
{'股票代码': 'SZ002136', '股票价格': '14.78'}
{'股票代码': 'SZ002137', '股票价格': '5.50'}
{'股票代码': 'SZ002138', '股票价格': '38.76'}
{'股票代码': 'SZ002139', '股票价格': '16.06'}
{'股票代码': 'SZ002140', '股票价格': '12.55'}
{'股票代码': 'SZ002141', '股票价格': '4.59'}
{'股票代码': 'SZ002142', '股票价格': '32.50'}
{'股票代码': 'SZ002144', '股票价格': '9.50'}
{'股票代码': 'SZ002145', '股票价格': '16.98'}
{'股票代码': 'SZ002146', '股票价格': '4.62'}
{'股票代码': 'SZ002147', '股票价格': '4.79'}
{'股票代码': 'SZ002148', '股票价格': '4.45'}
{'股票代码': 'SZ002149', '股票价格': '15.68'}
{'股票代码': 'SZ002150', '股票价格': '5.45'}
{'股票代码': 'SZ002151', '股票价格': '43.92'}
{'股票代码': 'SZ002152', '股票价格': '10.32'}
{'股票代码': 'SZ002153', '股票价格': '20.78'}
{'股票代码': 'SZ002154', '股票价格': '5.43'}
{'股票代码': 'SZ002155', '股票价格': '8.41'}
{'股票代码': 'SZ002156', '股票价格': '22.84'}
{'股票代码': 'SZ002157', '股票价格': '9.90'}
{'股票代码': 'SZ002158', '股票价格': '24.75'}
{'股票代码': 'SZ002159', '股票价格': '10.44'}
{'股票代码': 'SZ002160', '股票价格': '4.47'}
{'股票代码': 'SZ002161', '股票价格': '4.60'}
{'股票代码': 'SZ002162', '股票价格': '4.48'}
{'股票代码': 'SZ002163', '股票价格': '16.03'}
{'股票代码': 'SZ002164', '股票价格': '4.59'}
{'股票代码': 'SZ002165', '股票价格': '4.69'}
{'股票代码': 'SZ002166', '股票价格': '7.69'}
{'股票代码': 'SZ002167', '股票价格': '8.63'}
{'股票代码': 'SZ002168', '股票价格': '4.11'}
{'股票代码': 'SZ002169', '股票价格': '11.85'}
{'股票代码': 'SZ002170', '股票价格': '5.13'}
{'股票代码': 'SZ002171', '股票价格': '9.28'}
{'股票代码': 'SZ002172', '股票价格': '4.89'}
{'股票代码': 'SZ002173', '股票价格': '6.90'}
{'股票代码': 'SZ002174', '股票价格': '13.45'}
{'股票代码': 'SZ002175', '股票价格': '2.98'}
{'股票代码': 'SZ002176', '股票价格': '16.76'}
{'股票代码': 'SZ002177', '股票价格': '6.17'}
{'股票代码': 'SZ002178', '股票价格': '3.23'}
{'股票代码': 'SZ002179', '股票价格': '83.12'}
{'股票代码': 'SZ002180', '股票价格': '33.80'}
{'股票代码': 'SZ002181', '股票价格': '4.21'}
{'股票代码': 'SZ002182', '股票价格': '12.78'}
{'股票代码': 'SZ002183', '股票价格': '5.77'}
{'股票代码': 'SZ002184', '股票价格': '13.94'}
{'股票代码': 'SZ002185', '股票价格': '14.36'}
{'股票代码': 'SZ002186', '股票价格': '9.63'}
{'股票代码': 'SZ002187', '股票价格': '7.13'}
{'股票代码': 'SZ002188', '股票价格': '3.73'}
{'股票代码': 'SZ002189', '股票价格': '16.69'}
{'股票代码': 'SZ002190', '股票价格': '28.65'}
{'股票代码': 'SZ002191', '股票价格': '10.20'}
{'股票代码': 'SZ002192', '股票价格': '124.70'}
{'股票代码': 'SZ002193', '股票价格': '5.26'}
{'股票代码': 'SZ002194', '股票价格': '13.33'}
{'股票代码': 'SZ002195', '股票价格': '1.92'}
{'股票代码': 'SZ002196', '股票价格': '9.08'}
{'股票代码': 'SZ002197', '股票价格': '6.89'}
{'股票代码': 'SZ002198', '股票价格': '8.46'}
{'股票代码': 'SZ002199', '股票价格': '8.14'}
{'股票代码': 'SZ002200', '股票价格': '5.18'}
{'股票代码': 'SZ002201', '股票价格': '26.24'}
{'股票代码': 'SZ002202', '股票价格': '13.79'}
{'股票代码': 'SZ002203', '股票价格': '11.11'}
{'股票代码': 'SZ002204', '股票价格': '3.77'}
{'股票代码': 'SZ002205', '股票价格': '7.03'}
{'股票代码': 'SZ002206', '股票价格': '6.35'}
{'股票代码': 'SZ002207', '股票价格': '5.54'}
{'股票代码': 'SZ002208', '股票价格': '7.75'}
{'股票代码': 'SZ002209', '股票价格': '6.37'}
{'股票代码': 'SZ002210', '股票价格': '2.48'}
{'股票代码': 'SZ002211', '股票价格': '4.70'}
{'股票代码': 'SZ002212', '股票价格': '19.40'}
{'股票代码': 'SZ002213', '股票价格': '12.73'}
{'股票代码': 'SZ002214', '股票价格': '21.07'}
{'股票代码': 'SZ002215', '股票价格': '5.12'}
{'股票代码': 'SZ002216', '股票价格': '14.24'}
{'股票代码': 'SZ002217', '股票价格': '3.58'}
{'股票代码': 'SZ002218', '股票价格': '5.66'}
{'股票代码': 'SZ002219', '股票价格': '3.32'}
{'股票代码': 'SZ002221', '股票价格': '11.08'}
